gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
Male,0,Yes,Yes,30.0,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,No,Month-to-month,No,  Electronic check  ,$67.6,$2000.2,  No  
Male,0,No,No,13.0,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,ELECTRONIC CHECK,$70.15,$931.75,NO
Female,0,Yes,No,64.0,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,$115.0,$7396.15,no
Female,0,No,Yes,46.0,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,Yes,BANK TRANSFER (AUTOMATIC),$84.8,$3958.85,NO
Female,0,No,No,12.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,mailed check,$19.7,$260.9,no
Female,0,No,No,15.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,BANK TRANSFER (AUTOMATIC),$19.75,$nan,  Yes  
Male,0,Yes,Yes,17.0,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,$92.55,$1515.1,yes
Female,0,Yes,Yes,13.0,Yes,No,DSL,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,  Mailed check  ,$63.15,$nan,No
Female,0,Yes,Yes,67.0,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,Two year,No,CREDIT CARD (AUTOMATIC),$74.0,$4868.4,no
Male,0,Yes,No,24.0,No,No phone service,DSL,No,No,Yes,No,No,No,Month-to-month,No,electronic check,$29.1,$688.0,  No  
Male,0,No,No,6.0,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,$50.05,$nan,No
Male,1,Yes,No,53.0,Yes,Yes,DSL,Yes,No,No,Yes,No,No,One year,Yes,Electronic Check,$60.05,$3229.65,  Yes  
Male,1,Yes,No,16.0,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),$74.3,$1178.25,yes
Male,0,No,No,10.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,electronic check,$20.0,$185.4,No
Female,0,No,No,13.0,Yes,No,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Mailed check,$74.65,$966.25,No
Male,0,No,No,9.0,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,  Electronic check  ,$85.35,$758.6,yes
Female,0,No,No,25.0,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,No,One year,No,mailed check,$74.3,$1863.8,  Yes  
Male,1,No,No,7.0,No,No phone service,DSL,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,Electronic Check,$44.4,$265.8,No
Male,0,Yes,Yes,38.0,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Bank Transfer (Automatic),$85.4,$3297.0,no
Female,0,Yes,No,43.0,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,ELECTRONIC CHECK,$94.1,$4107.3,no
Female,0,No,Yes,4.0,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,BANK TRANSFER (AUTOMATIC),$98.1,$396.3,YES
Female,0,No,No,25.0,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,No,  Electronic check  ,$108.9,$2809.05,  No  
Male,0,No,Yes,27.0,Yes,No,DSL,Yes,Yes,No,No,No,No,One year,No,Mailed check,$56.2,$1567.55,  No  
Male,0,Yes,Yes,72.0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed Check,$26.1,$1851.45,No
Male,0,No,Yes,71.0,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No,One year,Yes,credit card (automatic),$85.45,$6028.95,NO
Female,0,No,No,24.0,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,credit card (automatic),$88.95,$2072.75,no
Female,0,No,No,50.0,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Two year,Yes,ELECTRONIC CHECK,$109.65,$5551.15,Yes
Male,0,No,No,57.0,Yes,No,DSL,Yes,No,Yes,No,Yes,Yes,Two year,Yes,bank transfer (automatic),$nan,$4317.35,  No  
Female,0,No,No,15.0,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,electronic check,$48.85,$nan,no
Male,0,No,No,4.0,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,electronic check,$80.1,$336.15,No
Female,0,No,No,28.0,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,No,electronic check,$56.05,$1522.65,  No  
Female,1,No,No,9.0,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,$74.55,$nan,Yes
Female,0,Yes,No,55.0,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,Yes,bank transfer (automatic),$89.8,$nan,  No  
Male,0,No,No,3.0,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,electronic check,$100.95,$329.95,Yes
Male,0,No,No,10.0,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic Check,$94.9,$1048.85,  Yes  
Male,0,No,Yes,55.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,  Bank transfer (automatic)  ,$19.1,$1001.5,No
Female,0,Yes,Yes,20.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,MAILED CHECK,$20.35,$442.6,No
Female,0,Yes,Yes,62.0,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,One year,Yes,Credit card (automatic),$106.05,$6703.5,No
Male,1,Yes,No,32.0,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic Check,$104.9,$3351.55,yes
Female,0,No,No,43.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,BANK TRANSFER (AUTOMATIC),$19.65,$779.25,No
Male,0,Yes,No,9.0,No,No phone service,DSL,No,No,No,No,No,No,One year,No,bank transfer (automatic),$24.1,$259.8,Yes
Female,0,Yes,No,60.0,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Two year,No,Bank transfer (automatic),$59.85,$3483.45,  No  
Male,0,Yes,No,58.0,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,Yes,Two year,Yes,Electronic Check,$86.1,$4890.5,No
Male,0,No,Yes,7.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,$19.45,$136.75,  No  
Male,0,Yes,Yes,2.0,Yes,No,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,No,  Electronic check  ,$97.1,$184.15,No
Male,1,No,No,37.0,No,No phone service,DSL,No,Yes,Yes,No,No,No,Month-to-month,No,Electronic check,$36.65,$1315.0,No
Female,1,Yes,Yes,65.0,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,One year,Yes,BANK TRANSFER (AUTOMATIC),$103.9,$6767.1,No
Female,0,Yes,Yes,39.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed Check,$19.75,$757.95,NO
Male,0,Yes,No,66.0,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,One year,Yes,Electronic Check,$104.05,$6890.0,Yes
Male,0,No,No,68.0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed Check,$24.55,$1657.4,no
Female,0,Yes,Yes,62.0,No,No phone service,DSL,Yes,Yes,No,Yes,Yes,No,Two year,No,Bank transfer (automatic),$48.7,$3008.55,  No  
Male,0,No,No,3.0,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,No,Month-to-month,Yes,  Mailed check  ,$nan,$262.05,  Yes  
Female,0,Yes,No,72.0,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Two year,Yes,electronic check,$109.55,$8165.1,NO
Female,0,Yes,No,41.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,CREDIT CARD (AUTOMATIC),$20.65,$875.55,NO
Male,0,Yes,Yes,29.0,Yes,No,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,No,CREDIT CARD (AUTOMATIC),$94.65,$2649.15,Yes
Female,0,No,No,4.0,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,No,Electronic check,$55.2,$220.65,No
Male,0,No,No,53.0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),$24.05,$1301.9,No
Male,1,Yes,No,1.0,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,$74.4,$74.4,YES
Female,0,Yes,Yes,41.0,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,Yes,Month-to-month,No,credit card (automatic),$79.9,$3326.2,Yes
Male,0,Yes,No,39.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,bank transfer (automatic),$20.45,$790.0,No
Male,0,Yes,No,63.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed Check,$19.25,$1237.65,No
Male,0,No,No,15.0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,electronic check,$26.35,$378.6,no
Female,0,Yes,No,13.0,Yes,No,DSL,No,No,No,No,No,No,One year,No,ELECTRONIC CHECK,$43.8,$592.65,no
Male,0,No,No,1.0,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,mailed check,$50.15,$50.15,No
Male,0,No,No,1.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed Check,$20.45,$20.45,No
Male,1,No,No,8.0,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,$69.7,$560.85,yes
Male,0,No,No,,Yes,No,DSL,Yes,Yes,Yes,No,No,No,Two year,No,electronic check,$61.4,$3638.25,No
Female,1,Yes,No,,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,$98.1,$1060.2,  Yes  
Male,0,Yes,No,40.0,Yes,Yes,DSL,No,Yes,No,Yes,Yes,No,One year,No,credit card (automatic),$70.75,$2921.75,  No  
Female,0,No,No,66.0,Yes,No,DSL,Yes,Yes,Yes,No,No,No,Two year,Yes,Bank transfer (automatic),$61.15,$4017.45,No
Male,0,Yes,Yes,42.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,  Mailed check  ,$20.25,$854.9,No
Female,1,No,No,66.0,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,One year,Yes,credit card (automatic),$63.85,$4174.35,NO
Male,0,No,No,49.0,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,No,Electronic Check,$98.7,$4920.55,NO
Female,0,No,No,1.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed Check,$20.5,$20.5,  Yes  
Female,0,No,No,41.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed Check,$20.0,$810.3,No
Female,0,Yes,Yes,41.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank Transfer (Automatic),$19.3,$772.4,No
Female,0,Yes,Yes,23.0,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,No,Month-to-month,No,MAILED CHECK,$84.4,$1936.85,  No  
Male,0,No,No,3.0,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,  Electronic check  ,$25.1,$79.8,  No  
Female,0,No,No,4.0,No,No phone service,DSL,Yes,No,Yes,Yes,No,Yes,Month-to-month,No,Mailed Check,$48.25,$202.25,NO
Female,0,Yes,Yes,,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,  Mailed check  ,$19.85,$1070.5,no
Female,1,Yes,No,4.0,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,$99.6,$nan,Yes
Female,0,No,No,11.0,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,electronic check,$94.2,$999.9,no
Female,0,Yes,No,2.0,Yes,No,DSL,Yes,No,No,No,No,Yes,Month-to-month,Yes,MAILED CHECK,$62.15,$113.1,No
Female,0,Yes,No,26.0,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,No,Bank transfer (automatic),$79.3,$2015.8,No
Male,0,Yes,Yes,24.0,Yes,No,DSL,Yes,No,Yes,No,No,No,One year,Yes,  Credit card (automatic)  ,$56.25,$1454.25,  No  
Female,0,No,No,12.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,mailed check,$20.3,$246.7,  No  
Male,1,Yes,No,60.0,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic Check,$99.0,$6017.9,  No  
Female,0,Yes,Yes,64.0,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,mailed check,$90.6,$5817.45,no
Male,0,Yes,No,66.0,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,bank transfer (automatic),$85.9,$nan,No
Female,0,No,No,60.0,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,One year,Yes,  Bank transfer (automatic)  ,$79.2,$4765.0,  No  
Male,0,Yes,Yes,17.0,Yes,Yes,DSL,Yes,No,Yes,No,Yes,No,One year,Yes,  Bank transfer (automatic)  ,$70.35,$1201.65,no
Male,0,Yes,Yes,42.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,$19.35,$867.3,no
Male,0,No,No,1.0,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,$50.15,$50.15,NO
Female,0,Yes,Yes,47.0,Yes,No,DSL,No,Yes,No,Yes,No,Yes,Two year,No,  Bank transfer (automatic)  ,$63.8,$3007.25,no
Female,0,Yes,No,10.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,MAILED CHECK,$20.55,$252.75,No
Male,1,Yes,No,70.0,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,CREDIT CARD (AUTOMATIC),$88.55,$6306.5,no
Male,1,No,No,67.0,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,  Credit card (automatic)  ,$101.4,$6841.05,No
Female,0,No,No,1.0,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic Check,$81.95,$nan,Yes
Male,0,Yes,No,7.0,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,ELECTRONIC CHECK,$69.35,$451.1,yes
Male,0,No,No,1.0,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,MAILED CHECK,$44.6,$44.6,  No  
Male,0,No,No,4.0,Yes,No,DSL,No,Yes,No,Yes,Yes,No,Month-to-month,Yes,bank transfer (automatic),$63.75,$226.2,NO
Female,0,Yes,Yes,66.0,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Two year,No,Bank Transfer (Automatic),$109.25,$7082.5,No
Female,0,No,No,12.0,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic Check,$84.6,$1017.35,no
Female,0,No,No,24.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),$20.45,$nan,no
Male,0,No,No,26.0,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,  Electronic check  ,$85.75,$2146.5,  No  
Female,0,No,No,6.0,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,$91.1,$455.3,YES
Male,0,Yes,No,57.0,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,No,ELECTRONIC CHECK,$107.95,$5969.85,No
Male,0,Yes,No,14.0,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic Check,$86.1,$nan,  Yes  
Female,0,Yes,Yes,42.0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,electronic check,$22.95,$1014.25,no
Male,0,No,No,25.0,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,BANK TRANSFER (AUTOMATIC),$94.7,$2362.1,yes
Female,0,Yes,No,64.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,credit card (automatic),$19.45,$1225.65,No
Male,0,Yes,No,22.0,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,ELECTRONIC CHECK,$85.1,$1873.7,yes
Male,0,No,No,19.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit Card (Automatic),$19.7,$386.5,no
Female,0,Yes,Yes,61.0,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,  Electronic check  ,$99.15,$6010.05,yes
Male,0,Yes,No,22.0,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Bank Transfer (Automatic),$87.0,$1850.65,  No  
Male,1,Yes,No,70.0,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic Check,$102.95,$7101.5,Yes
Male,0,No,No,12.0,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),$79.95,$1043.4,  No  
Female,0,Yes,No,31.0,Yes,No,DSL,Yes,No,No,Yes,No,Yes,One year,Yes,Electronic check,$nan,$1910.75,  No  
Female,0,No,No,11.0,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic Check,$64.9,$nan,NO
Male,0,Yes,Yes,68.0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,  Mailed check  ,$25.75,$nan,No
Female,1,Yes,Yes,72.0,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,BANK TRANSFER (AUTOMATIC),£90.15,£6716.45,  No  
Male,1,No,No,67.0,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit Card (Automatic),$116.1,$7839.85,  No  
Female,0,No,No,60.0,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,bank transfer (automatic),$104.95,$6236.75,No
Male,0,No,No,,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,  Mailed check  ,$45.05,$45.05,yes
Female,1,No,Yes,1.0,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,ELECTRONIC CHECK,$71.0,$71.0,yes
Male,0,Yes,Yes,58.0,No,No phone service,DSL,Yes,Yes,Yes,No,Yes,No,One year,No,MAILED CHECK,$50.0,$nan,  No  
Female,1,Yes,Yes,47.0,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,BANK TRANSFER (AUTOMATIC),$70.55,$3309.25,YES
Female,0,No,No,1.0,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,electronic check,$79.7,$79.7,yes
Male,0,No,No,1.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,  Mailed check  ,$20.45,$20.45,no
Male,0,No,No,22.0,Yes,Yes,DSL,Yes,Yes,No,No,No,No,Month-to-month,No,Electronic Check,$59.0,$1254.7,Yes
Female,0,No,No,,Yes,No,DSL,Yes,No,Yes,Yes,No,No,One year,Yes,Credit Card (Automatic),$60.35,$2896.4,  Yes  
Female,0,Yes,No,37.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),$19.85,$717.5,NO
Male,0,No,No,13.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic Check,$19.95,$nan,NO
Male,0,No,No,43.0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,  Bank transfer (automatic)  ,$26.45,$1110.05,NO
Female,0,No,No,6.0,No,No phone service,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,MAILED CHECK,$63.4,$348.8,no
Male,0,No,No,71.0,No,No phone service,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,No,BANK TRANSFER (AUTOMATIC),$53.95,$3888.65,No
Female,1,Yes,Yes,1.0,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic Check,$69.25,$69.25,yes
Female,0,Yes,Yes,72.0,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Two year,Yes,Electronic check,$95.1,$6843.15,No
Female,1,No,No,,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,  Electronic check  ,$74.1,$450.9,no
Male,0,Yes,Yes,12.0,No,No phone service,DSL,No,Yes,No,Yes,No,No,Month-to-month,No,MAILED CHECK,$35.5,$432.25,no
Male,0,No,No,25.0,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Mailed check,$70.95,$1767.35,Yes
Female,0,Yes,No,21.0,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,One year,No,Electronic Check,$79.2,$nan,NO
Female,0,Yes,Yes,6.0,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Mailed check,$48.8,$297.35,No
Male,0,Yes,No,20.0,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,  Mailed check  ,$89.0,$1820.45,Yes
Male,0,Yes,No,18.0,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,  Electronic check  ,$99.4,$1742.95,Yes
Female,0,No,No,43.0,Yes,No,DSL,No,Yes,No,Yes,No,No,One year,No,  Electronic check  ,$55.45,$2444.25,No
Female,0,Yes,Yes,35.0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit Card (Automatic),$25.4,$949.8,no
Female,0,No,No,1.0,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,  Bank transfer (automatic)  ,$73.5,$73.5,yes
Male,1,Yes,No,32.0,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,ELECTRONIC CHECK,$93.5,$nan,no
Male,0,No,No,52.0,No,No phone service,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit Card (Automatic),$nan,$3334.95,No
Male,0,No,No,32.0,Yes,No,DSL,No,No,No,No,Yes,Yes,One year,Yes,bank transfer (automatic),$64.85,$nan,No
Female,0,Yes,Yes,72.0,No,No phone service,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,  Bank transfer (automatic)  ,$63.8,$4684.3,no
Male,0,No,No,51.0,No,No phone service,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Credit Card (Automatic),$44.45,$2181.55,  No  
Male,0,Yes,Yes,68.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,  Bank transfer (automatic)  ,$19.95,$1303.25,  No  
Male,1,Yes,No,8.0,No,No phone service,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,MAILED CHECK,$43.35,$nan,no
Male,0,Yes,No,49.0,No,No phone service,DSL,No,Yes,No,No,Yes,Yes,Two year,No,  Credit card (automatic)  ,$49.65,$2409.9,No
Female,0,Yes,No,,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Mailed Check,$85.1,$6155.4,No
Male,0,No,No,9.0,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic Check,$95.5,$829.1,  Yes  
Female,0,Yes,No,28.0,Yes,No,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,  Mailed check  ,$92.35,$2602.9,YES
Male,0,No,No,54.0,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,No,Month-to-month,No,  Mailed check  ,$89.8,$nan,No
Male,0,No,No,11.0,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,ELECTRONIC CHECK,$74.55,$824.75,yes
Female,0,Yes,Yes,50.0,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,One year,No,Mailed check,$103.05,$5153.5,NO
Female,0,Yes,No,69.0,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,$116.0,$8182.85,No
Male,0,No,No,1.0,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,$69.9,$69.9,No
Male,0,Yes,Yes,68.0,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,Yes,Two year,No,bank transfer (automatic),$95.1,$6683.4,No
Male,0,No,Yes,40.0,No,No phone service,DSL,Yes,Yes,No,Yes,No,No,One year,No,Mailed check,£40.25,£1564.05,No
Male,0,Yes,Yes,31.0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,MAILED CHECK,$25.75,$755.6,No
Female,1,No,Yes,33.0,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,BANK TRANSFER (AUTOMATIC),$105.35,$3465.05,  No  
Male,1,Yes,No,55.0,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,  Electronic check  ,$113.6,$6292.7,  No  
Male,0,Yes,Yes,68.0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),$24.0,$1664.3,No
Female,0,Yes,Yes,12.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,bank transfer (automatic),$19.4,$198.1,No
Male,0,Yes,No,71.0,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,BANK TRANSFER (AUTOMATIC),$86.1,$nan,  No  
Male,0,No,No,40.0,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,  Mailed check  ,$102.65,$4108.15,  No  
Female,0,Yes,Yes,64.0,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,One year,Yes,electronic check,$92.85,$5980.75,no
Male,0,Yes,No,53.0,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,Yes,One year,No,Bank Transfer (Automatic),$97.75,$5043.2,No
Male,1,No,No,12.0,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,No,Month-to-month,Yes,Mailed check,$83.8,$1029.75,  Yes  
Male,1,No,No,53.0,No,No phone service,DSL,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,$54.45,$2854.55,yes
Male,0,Yes,No,72.0,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,No,Two year,Yes,Credit Card (Automatic),$97.95,$7114.25,no
